,Country,Year,suicides_per_100k
153,Hungary,2015,19.894522818474513
154,Hungary,2016,20.98834735536097
155,Hungary,2017,1.3903126894120121
156,Hungary,2018,1.4099783228193619
157,Hungary,2019,1.3210671438814907
158,Hungary,2020,0.0
159,Iceland,2015,12.963695171671732
160,Iceland,2016,14.882447269629019
161,Iceland,2017,0.8250825082508251
162,Iceland,2018,0.8032788899252762
163,Iceland,2019,0.9013681381617082
164,Iceland,2020,1.0687754743771314
165,Ireland,2017,0.0
166,Ireland,2018,0.7481878445259496
167,Ireland,2019,0.0
168,Ireland,2020,0.0
169,Israel,2015,4.5501837369514835
170,Israel,2017,0.3844697187058864
171,Israel,2018,0.4212260398372885
172,Israel,2019,0.0
173,Israel,2020,0.0
174,Italy,2015,6.8619374232946635
175,Italy,2017,0.542370635531795
176,Italy,2018,0.0
177,Italy,2019,0.0
178,Italy,2020,0.0
179,Japan,2015,19.1831764904573
180,Japan,2017,0.8890411534301527
181,Japan,2018,0.880049837947812
182,Japan,2019,0.8461459493181083
183,Japan,2020,0.0
184,Jordan,2017,0.011420686772883621
185,Jordan,2018,0.009560352834381705
186,Jordan,2019,0.0
187,Jordan,2020,0.0
188,Kazakhstan,2015,18.35524714650044
189,Kazakhstan,2017,1.230750398497021
190,Kazakhstan,2018,1.1367085909234462
191,Kazakhstan,2019,1.068129484624688
192,Kazakhstan,2020,0.9526010255603116
193,Kuwait,2017,0.14141743258348155
194,Kuwait,2018,0.16021242236936029
195,Kuwait,2019,0.15198937200243182
196,Kuwait,2020,0.0
197,Kyrgyzstan,2015,8.0256713705056
198,Kyrgyzstan,2017,0.52434577780646
199,Kyrgyzstan,2018,0.5008329642985175
200,Kyrgyzstan,2019,0.4866123519510961
201,Kyrgyzstan,2020,0.0
202,Latvia,2015,20.634255423290156
203,Latvia,2017,1.5145679988686649
204,Latvia,2018,1.292912143203814
205,Latvia,2019,1.2540351192535146
206,Latvia,2020,1.306708747950265
207,Lebanon,2017,0.0
208,Lebanon,2018,0.0
209,Lebanon,2019,0.04179705184927164
210,Lebanon,2020,0.0
211,Lithuania,2015,32.5353695052082
212,Lithuania,2016,33.61556228775576
213,Lithuania,2017,2.2067812354415786
214,Lithuania,2018,2.0345930795993494
215,Lithuania,2019,1.965424983337133
216,Lithuania,2020,1.8128354714654331
217,Luxembourg,2015,11.901485454153246
218,Luxembourg,2017,0.7406339155554363
219,Luxembourg,2018,0.5757052389176741
220,Luxembourg,2019,0.9139770204671713
221,Luxembourg,2020,0.0
222,Maldives,2017,0.0
223,Maldives,2018,0.03403041229886325
224,Maldives,2019,0.06607097079398808
225,Maldives,2020,0.0
226,Malta,2015,8.279818915489837
